kota,kecamatan,populasi,lat,lng
Surabaya,Asemrowo,7246,-7.2521549,112.7126777
Surabaya,Benowo,3288,-7.2488139,112.632737
Surabaya,Bubutan,24997,-7.2488065,112.5529093
Surabaya,Bulak,10438,-7.2315603,112.7829131
Surabaya,Dukuh Pakis,15774,-7.2833153,112.6856275
Surabaya,Gayungan,13920,-7.3381491,112.714268
Surabaya,Genteng,13823,-7.25772,112.7492403
Surabaya,Gubeng,13296,-7.2716424,112.7533982
Surabaya,Gunung Anyar,12484,7.3406384,112.7809146
Surabaya,Jambangan,11499,-7.3214644,112.71257
Surabaya,Karang Pilang,9976,-7.3333874,112.6967417
Surabaya,Kenjeran,21921,-7.2266385,112.7574887
Surabaya,Krembangan,46998,-7.2324201,112.7214512
Surabaya,Lakasantri,12618,-7.2882067,112.6700877
Surabaya,Mulyorejo,14283,-7.2611899,112.7668822
Surabaya,Pabean Cantian,37630,-7.2788329,112.5773476
Surabaya,Pakal,12589,-7.2384996,112.6149775
Surabaya,Rungkat,13448,-7.3164779,112.6538568
Surabaya,Sambikerep,6035,-7.2745432,112.6280927
Surabaya,Sawahan,35002,-7.2738177,112.4642912
Surabaya,Semampir,31256,-7.2253288,112.7419308
Surabaya,Sukolilo,19548,-7.2996306,112.7677739
Surabaya,Sukomanunggal,41535,-7.2608496,112.70973
Surabaya,Tambaksari,23193,-7.2570987,112.7527523
Surabaya,Tandes,11081,-7.2592096,112.6752656
Surabaya,Tegalsari,25887,-7.2879926,112.737949
Surabaya,Tenggilis Mejoyo,13356,-7.3138914,112.7544441
Surabaya,wiyung,15682,-7.3140833,112.6926353,
Surabaya,Wonocolo,17132,-7.320179,112.7385771
Surabaya,Wonokromo,25485,-7.291712,112.7295757
Gresik,Balongpanggang,54050,-7.2689629,112.4405423
Gresik,Benjeng,56647,-7.2630042,112.4958727
Gresik,Bungah,56804,-7.0555031,112.5737708
Gresik,Cerme,78153,-7.2347611,112.5618634
Gresik,Driyorejo,6588,-7.353213,112.6263079
Gresik,Duduk Sampeyan,3477,-7.1546812,112.5186595
Gresik,Dukun,66086,-7.2697825,110.1005107
Gresik,Gresik,80005,-7.1600383,112.6447627
Gresik,Kebomas,115500,-7.1674201,112.6355797
Gresik,Kedamean,67192,-7.3253584,112.5639561
Gresik,Manyar,111016,-7.1222401,112.601417
Gresik,Menganti,133875,-7.2938961,112.5828726
Gresik,Panceng,53840,-6.9136302,112.4556637
Gresik,Sangkapura,46915,-5.8472317,112.6586829
Gresik,Sidayu,44787,-6.9974997,112.5610962
Gresik,Tambak,21022,-7.6124353,109.4057583
Gresik,Ujung Pangkah,54109,-6.919397,112.5438619
Gresik,Wringinanom,70101,-7.4022874,112.5273837
Sidoarjo
Mojokerto
malang
